text;ref;nbg;datei;autor;subjekt;subjekt_type;kommentar_1;q_subjekt;subjekt_ref;prädikat;p_wert;p_ref;objekt;objekt_type;q_objekt;objekt_ref;zeit;q_zeit;kommentar_2;reihenfolge;lat;lon
Ich ging daher zu Br. Wullschlägel, welcher damals Lehrer an der Ortsanstalt in Niesky war, und ersuchte ihn, mir einige lateinische Bücher zu leihen.;https://collections-mun-ca/digital/collection/nachrichten/id/55633/rec/240;NBG 1893;1893_Bonatz_J_A-xml;Johann Adolf Bonatz;Heinrich Rudolph Wullschlägel;person;;Q205828;https://www-wikidata-org/wiki/Q205828;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehrer an der Ortsanstalt in Niesky;tätigkeit;Q37226;https://www-wikidata-org/wiki/Q37226;;;;01-054;;
"Ich hatte daran nie gedacht und nahm es als scherz; aber es war ihm damit völliger Ernst, und schon nach 8 Tagen wurde mir von Br. L. Reichel, Prediger und Direktor der Ortsanstalt in Niesky, der Antrag gemacht, an stelle des Br. Wullschlägel einzutreten. Ich begaun meinen Anstaltsdienst am Tage nach dem Kinder fest 1829.";https://collections-mun-ca/digital/collection/nachrichten/id/55633/rec/240;NBG 1893;1893_Bonatz_J_A-xml;Johann Adolf Bonatz;Johann Adolf Bonatz;person;;Q123396429;https://www-wikidata-org/wiki/Q123396429;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehrer an der Ortsanstalt in Niesky;tätigkeit;Q37226;https://www-wikidata-org/wiki/Q37226;1829;P585;;01-057;;
Am 7 Juni 1831 erhielt ich ganz unerwartet einen Ruf zum Dienst der Mission in süd . Afrika.;https://collections-mun-ca/digital/collection/nachrichten/id/55633/rec/240;NBG 1893;1893_Bonatz_J_A-xml;Johann Adolf Bonatz;Johann Adolf Bonatz;person;;Q123396429;https://www-wikidata-org/wiki/Q123396429;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Missionar;tätigkeit;Q219477;https://www-wikidata-org/wiki/Q219477;;;;01-060;;
Wilhelmine war auch zur Zeit meiner Kindheit in Gnadenthal eine treue Kindsmagd bei Geschw. Küster gewesen und hatte mir dei meiner Abreise nach Europa die Ermahnung mitgegeben, fleißig zu lernen, dem Heiland treu zu bleiben, um damn wieder einmal als Missionar nach Afrika zurückzukehren.;https://collections-mun-ca/digital/collection/nachrichten/id/55633/rec/240;NBG 1893;1893_Bonatz_J_A-xml;Johann Adolf Bonatz;Wilhelmine Stompjes;person;;Q124804445;https://www-wikidata-org/wiki/Q124804445;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Kindsmagd;tätigkeit;Q936969;https://www-wikidata-org/wiki/Q936969;;;;01-093;;
Besonders war uns Wilhelmine als Dolmetscherin nüßlich.;https://collections-mun-ca/digital/collection/nachrichten/id/55633/rec/240;NBG 1893;1893_Bonatz_J_A-xml;Johann Adolf Bonatz;Wilhelmine Stompjes;person;;Q124804445;https://www-wikidata-org/wiki/Q124804445;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Dolmetscherin;tätigkeit;Q11085831;https://www-wikidata-org/wiki/Q11085831;;;;01-099;;
Als ich im Jahr 1802 ausgelernt hatte, beschloß ich, sogleich auf die Wanderschaft zu gehen zuvor aber wollte ich noch einmal das heilige Abendmahl genießen.;https://collections-mun-ca/digital/collection/nachrichten/id/68219/rec/191;NBG 1856;1856_Lemmerz_J-xml;Johannes Lemmerz;Johannes Friedrich Lemmerz;person;;Q123420358;https://www-wikidata-org/wiki/Q123420358;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Wanderschaft;tätigkeit;Q3566027;https://www-wikidata-org/wiki/Q3566027;1802;P585;;02-005;;
In Gnadau bekam ich sogleich Arbeit auf meiner Profession und fühlte mich daselbst wie zu Hause.;https://collections-mun-ca/digital/collection/nachrichten/id/68219/rec/191;NBG 1856;1856_Lemmerz_J-xml;Johannes Lemmerz;Johannes Friedrich Lemmerz;person;;Q123420358;https://www-wikidata-org/wiki/Q123420358;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;strumpfwirker-Meister;tätigkeit;Q52316029;https://www-wikidata-org/wiki/Q52316029;;;;02-006;;
Als mir im Januar 1809 angezeigt wurde, daß ich auf meiner Profession nun Arbeit bekommen könnte , nahm ich solches mit Freuden an, und verließ mein bisheriges Geschäft, bei dem mir der Herr so gnädig beigestanden hatte, mit dankbar beschämtem Herzen.;https://collections-mun-ca/digital/collection/nachrichten/id/68219/rec/191;NBG 1856;1856_Lemmerz_J-xml;Johannes Lemmerz;Johannes Friedrich Lemmerz;person;;Q123420358;https://www-wikidata-org/wiki/Q123420358;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;strumpfwirker-Meister;tätigkeit;Q52316029;https://www-wikidata-org/wiki/Q52316029;01-1809;P585;;02-010;;
Am 20 Januar 1822 wurde mir in einer Versammlung des Hausgemeinleins eine vom Bischof Gottlob Martin schneider ausgefertigte schriftliche Ordination zu einem Diakonus der Brüderkircht mit den herzlichsten segenswünschen überreicht bei welcher Gelegenheit ich mich dem Heiland aufs Neue zu seinem Dienst weihte, und Ihn bat, alles dasjenige an mir in Erfüllung gehen . zu lassen , was mir in . dem Ordinationsschreiben ans gewüns dht wurde.;https://collections-mun-ca/digital/collection/nachrichten/id/68219/rec/191;NBG 1856;1856_Lemmerz_J-xml;Johannes Lemmerz;Gottlieb Martin Schneider;person;;Q55899303;https://www-wikidata-org/wiki/Q55899303;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Bischof;tätigkeit;Q29182;https://www-wikidata-org/wiki/Q29182;;;;02-052;;
Mein Vater war Johann Christoph schulz Lehrer am dasigen Gymnasium und meine Mutter Christiane Dorothee Hellwig.;https://collections-mun-ca/digital/collection/nachrichten/id/23017/rec/11;NBG 1820;1820_schulz_Johann_Gottlieb-xml;Johann Gottfried schulz;Johann Christoph Schulz;person;;Q94807583;https://www-wikidata-org/wiki/Q94807583;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehrer am dasigen Gymnasium;tätigkeit;Q37226;https://www-wikidata-org/wiki/Q37226;;;;03-003;;
